hospital,content
й╔дп║южX┬х░|,"з┌│гжbй╔дпм▌пf,╖Pл_м▌╢└дх╗и┬хоv,йw┤┴░╡иx┼ж╢Wн╡кi└╦мd,з┐╕Ї╡▓е█м▌йPз╙╗Ў┬хоv,╕g╣L┐щз┐║▐┬X▒iдт│Nдзлс│o╗Єжhж~,жAд]иSж│╡▓е█к║╡hнWдF,░╞░|к°┴┬╡A╡o┬хоvм░дH╝Ў▒бдS┐╦д┴.й╔дпжёз┌10жhж~кё20ж~,пuк║л▄┤╬."
й╔дп║южX┬х░|,"дSдгмOд░╗Є╛x░╧бAм▌пf░▒н╙ио┴┘нnжм╢OбH
╖и▒Ўк║еtд@оaд╤жи┬х░|еhи║м▌пfбA░▒ио│їд]│геiеHйш░▒ио╢OбI"
й╔дп║южX┬х░|,┴┬┴┬й╔дп┬х░|бAжbк№д╜┬ў╢}з┌н╠к║лeеbж~к║о╔╢ббAиCжь┬х┼@дHн√╣як№д╜к║▓╙д▀╖╙┼UбAк║┬I┬I║w║w░Oжbд▀╕╠бAзAн╠дг╣│ифеLд╓╝╞к║┬х░|бAмO░╡╡╣дHм▌к║бAж╙зAн╠мOпuд▀к║бAл▄ж│╖Rд▀к║╖╙┼UбAдг║▐к№д╜мOжbжw╛iддд▀й╬мOжbпfй╨бAзAн╠│г╖╙┼Uк║л▄жnбAпuд▀к║┴┬┴┬зAн╠
й╔дп║южX┬х░|,жpкGе═пfжэ░|д@йwнn┐я╛▄й╔дп┬х░|бAк┼оЁжn┤║жтй╔дHбAжbж╣└R╛iеuж│┬╬╗я│╛еs┴nбAд@йwл▄з╓е■┬б!
й╔дп║южX┬х░|,иC╖эдWдUпZ бA├M╡█з┌к║дp50 й╡╡█дpдsйY  д╤оЁжnо╔  м▌╡█дщеXдщ╕и  дUлB╣Lлс  ж│╡█▓H▓Hк║║ёпєн╗  прж│д@оa┬х░|жbдjж█╡Mк║│Є─╟дU иSж│жh╛lк║дHдu  п┬д╤╡M  ─▒▒o  йп║╓
й╔дп║южX┬х░|,"│╠░к__бC
лD▒`╖P┴┬┤_░╖ддд▀к║иCжьж╤оv бBм░з┌н╠╝Ўд▀дSж│╖Rд▀к║кA░╚бC
╕█____ж│_________бC"
й╔дп║южX┬х░|,Good........
е@м╔д·┬х╢Eй╥,о}┬хе═йM▒i┬хе═│г┬х│N░кй·бAеiеHл▄йёд▀к║╡╣┬хе═кv└°бA▒qдpиьдj│гмOжb│oкv└°к║бI
е@м╔д·┬х╢Eй╥,▒i┬хоv┬х│N║ы┤ябAм░дH┐╦д┴бAз┌л▄│▀┼wжo
е@м╔д·┬х╢Eй╥,кA░╚и││tбA▓─д@о╔╢б└░пfдH│B▓zпk╡hдг┼o╢█
е@м╔д·┬х╢Eй╥,л▄┤╬к║д·┬х╢Eй╥бA┬хе═┐╦д┴к║▒M╖~бB╢Kд▀╖╙┼@бBз╣╡╜к║┬х└° дгжAй╚м▌д·┼o_
дTе┴д·┬х╢Eй╥,й▐д·з▐│Nд@п┼┤╬к║╛G│єжи┬хоv
дTе┴д·┬х╢Eй╥,лD▒`╡╜и}к║┬хе═╕Є┬хе═оQбAдг╖|▒jнвд@йwнn╕╦░▓д·
╛Gдх╕Sд·┬х╢Eй╥,┴┬┴┬!╛G┬хоvз▐│N░к╢W.м@▒╧з┌д@дfллллж╤иoк║д·.
╛Gдх╕Sд·┬х╢Eй╥,кA░╚╢Wп┼─ъ┼@дh║Aл╫л▄оt
и╩кЎд·┬х╢Eй╥,╕╦цCл▄║}лGбA╛у┼щ└Ї╣╥░о▓b░к╢обA╢iк∙╢}йl┤N╖P─▒л▄╡╬╛AбA┬d╗O▒╛╕╣з╣дзлс╖|ж│зU▓z▒a╗тж▄м▌╢EбA▓─д@ж╕м▌╢Eлhеh╖╙е■дfXе·бA╗Ў╛╣│гл▄╖sбAж╙└░з┌м▌╢Eк║мOзdй╔╝ф┬хоvбA░w╣яз┌к║▒бкp╕╤╗бк║л▄еJ▓╙бAдг╖|└HлK│B▓zд·╛жк║кмкpбA╖|╗Pз┌╖╛│qеHлс╜T╗{д~╢iжцбA╛ун╙кv└°╣L╡{л▄╗┤├P╢╢║ZбAзU▓zлси╙д]л▄╝Ўд▀▒╨╛╔д·иъбBд·╜uд╬д·╢биък║и╧е╬з▐ейбA╛у┼щ┼¤з┌╖P─▒░гдFд·┬х▒M╖~еHе~бAзU▓zд]л▄▒M╖~бAж╙еB│гл▄┐╦д┴бA┴┬┴┬└░з┌кA░╚к║┬хоvд╬зU▓zбC
и╩кЎд·┬х╢Eй╥,"жb┤Xж╕к║м▌╢EлсбA
─▒▒o╛ун╙и╩кЎд·┬хк║дHн√бA
дг║▐нt│dн■дшн▒бA│гл▄ж│п└╜шбA
мOд@н╙╡╬╛Aк║└Ї╣╥бAл▄▓M╝ф░о▓b
зA╖|╡o▓{
еLн╠жb▓╙╕`к║жaдшл▄к`нл
ж╙еBл▄─@╖Nж^╡киSд@н╙пfдHк║░▌├D
л▄ж│н@д▀╗P╖Rд▀"
и╩кЎд·┬х╢Eй╥,"з┌е╪лeмO╡╣▒i╧╔╖ь┬хоv░╡╛жжC┴Bе┐бA
дзлeд]ж│╡╣▒i┬хоv░╡о┌║▐кv└°
▒i┬хоvмOд@н╙░╡и╞л▄еJ▓╙
╖|жb│\жhдшн▒еhж╥╢q
ж│┤X┴√мOеHлeжbифеLжaдш░╡╣Lд·оMк║д·╛ж
жb╡╣▒i┬хоvм▌╣Lдзлс
д]╡╣з┌м▌дFXе·бA
дзлeифеLжaдш╗sз@к║л▄▓╩┴WиSж│▒KжXбA
┴┘жnзYо╔╡o▓{д║│бж│┬I│Eд·
иCж╕жbм▌д·╛ж│Eд·й╬мO┴Bе┐к║╣L╡{
жb╛сд▀╗Pдгжwк║о╔н╘
▒i┬хоvд]╖|н@д▀жw╝╛▒б║№
зAж│╕▀░▌еLбA
еL╖|н@д▀к║╕╤─└╣L╡{бAдг╖|ж│дгн@╖╨к║▒б║№
ж╙еBл▄еJ▓╙к║║╔╢q┼¤зAжb╛ун╙╣L╡{дд
мO╡L╡hдг╖|╖P─▒иьдг╡╬кAк║
еOдHжwд▀"
и╩кЎд·┬х╢Eй╥,ж╙еB▓┤╖·л▄║}лG
и╩кЎд·┬х╢Eй╥,▒└┬╦мI┬хоvбA┴Bе┐д·╛жк║з▐│NлD▒`жnбA╣я▒wк╠л▄╖┼мXд]л▄ж│н@д▀бC
и╩кЎд·┬х╢Eй╥,м~д·л▄еJ▓╙бAж¤▓─д@ж╕еh┤N│Q╡√жЇ▒└╛PбA╗бнn╕╦д·оMд░╗Єк║бA╖Pи№дгмOл▄жnбKжn╣││геH▒└╛Pм░еDбH
и╩кЎд·┬х╢Eй╥,"┐╘╕▀оv╣я└°╡{╗бй·еJ▓╙
▒i┬хоvм▌╢E┬╘╖VдSз╓│t"
