Name,Economic,Temporal,Convenience,Sociopsychological,Quality,Other,Total
衛生福利部桃園醫院,0.000,0.000,0.000,0.000,0.000,0.000,0
國軍桃園總醫院附設民眾診療服務處,0.000,0.000,0.000,0.000,0.000,0.000,0
臺北榮民總醫院桃園分院,0.000,0.000,0.000,0.000,0.000,0.000,0
天成醫療社團法人天晟醫院,0.000,0.000,0.000,0.000,4.050,3.744,1
沙爾德聖保祿修女會醫療財團法人聖保祿醫院,0.000,0.000,0.000,0.000,0.000,0.000,0
長庚醫療財團法人林口長庚紀念醫院,0.000,0.000,0.000,0.000,0.000,0.000,0
長庚醫療財團法人桃園長庚紀念醫院,0.000,0.000,0.000,0.000,0.000,0.000,0
敏盛綜合醫院,0.000,0.000,0.000,0.000,0.000,3.938,2
天成醫院,0.000,0.000,0.000,0.000,0.000,0.000,0
怡仁綜合醫院,0.000,0.000,0.000,0.000,4.050,3.744,1
壢新醫院,-0.402,0.000,-0.001,0.893,0.339,1.923,35
榮煌牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏仁牙醫診所,0.000,0.000,0.000,0.617,1.271,1.873,6
正大牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
黃牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
立新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
德明牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
慈恩牙醫診所,0.000,0.000,-1.775,0.000,1.906,1.872,2
杏昇牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大雅牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
名家牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
源芳牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
銀格牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
煌猷牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
淨妙牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
楊牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
榮安牙醫診所,0.000,0.000,3.950,0.000,0.000,3.550,1
千代牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
景翔牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大成牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
四維牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
溫牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
世界牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大衛牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
欣聖牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
佳德牙醫診所,0.000,0.000,0.000,0.000,1.906,3.647,2
成功牙醫診所,0.000,0.000,0.000,0.000,3.588,0.000,2
大宇牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
明仁牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
潔安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
定北牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
三民牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
信德牙醫診所,0.000,0.000,0.000,0.000,3.588,0.000,1
百齡牙醫診所,1.750,0.000,1.975,1.869,1.906,1.872,2
何逢原牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
永安江牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
永安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏國牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
源美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
懷恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
長榮牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
鄭文祿牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
古秀傳牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
福太牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
創彬牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
郭偉軍牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
皓美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
何牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
黃乃靖牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
偉玲牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
杏宏牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
陳學偉牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
福康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
佳祥牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
民生牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
群益牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
陳霖茂牙醫診所,0.000,0.000,0.000,0.000,1.906,1.882,2
德恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
誠品牙醫診所,0.000,0.000,0.000,1.350,0.000,2.367,3
久大牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
何良善牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
臻美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
齊美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
朝陽牙醫診所,0.000,0.000,0.000,2.862,1.931,1.775,4
大偉牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
全品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
健銓牙醫診所,0.000,0.000,0.000,0.000,3.813,3.744,1
康禾牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
游偉斌牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
博安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新田牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
明佑牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新世紀牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
敦品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
上華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
明新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
國鼎牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
鈺盛牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
名華牙醫診所,0.000,0.000,0.000,0.000,0.000,3.744,2
