word,score,type
實在,3.5,1
免費,3.375,1
合理,3.7,1
便宜,3.175,1
優惠,3.25,1
物超所值,3.325,1
自費,-3.513,1
加收,-3.575,1
無理,-3.65,1
昂貴,-3.714,1
快,3.538,2
準時,3.663,2
不久,3.063,2
快速,3.463,2
久,-3.788,2
延遲,-3.713,2
超時,-3.763,2
遲遲,-3.438,2
乾等,-3.913,2
拖超久,-4.063,2
方便,3.875,3
清楚,3.625,3
簡單,3.475,3
便民,3.663,3
清潔,3.775,3
乾淨,3.95,3
優雅 ,3.2,3
清爽,3.35,3
困擾,-3.263,3
麻煩,-3.55,3
遠,-3.663,3
困難,-3.375,3
擾民,-3.35,3
難找,-3.213,3
不便,-3.338,3
隱匿,-3,3
隱密,-3.15,3
擾人,-3.35,3
髒 ,-3.8,3
爛掉,-3.575,3
惡臭,-3.638,3
親切 ,3.95,4
細心 ,4.05,4
舒服,3.5,4
關心 ,3.588,4
輕鬆,2.938,4
認真,3.863,4
安撫 ,3.463,4
詳細 ,3.775,4
值得,3.375,4
愛心 ,3.875,4
禮貌 ,3.875,4
體諒,3.713,4
貼心 ,3.825,4
熱情,3.425,4
友善,3.725,4
開心 ,3.025,4
熱心 ,3.413,4
客氣 ,3.55,4
嚴謹,3.863,4
和藹可親,3.725,4
安靜 ,3.188,4
真誠,3.663,4
真心 ,3.588,4
熱忱 ,3.675,4
愉快 ,3.488,4
認同 ,3.513,4
乾脆 ,3.338,4
用心,4.013,4
溫柔 ,3.7,4
尊重 ,3.938,4
和善 ,3.713,4
不厭其煩 ,3.838,4
體貼,3.8,4
不耐煩 ,-3.875,4
急 ,-3.688,4
異常 ,-3.525,4
疏忽 ,-3.838,4
悶悶 ,-3.188,4
悶 ,-3.175,4
害怕,-3.338,4
抱怨 ,-3.55,4
怪 ,-3.463,4
異狀 ,-3.488,4
傲慢 ,-3.775,4
高傲 ,-3.663,4
投訴 ,-3.525,4
不屑 ,-3.6,4
提心吊膽 ,-3.488,4
焦慮 ,-3.513,4
生氣 ,-3.538,4
忙 ,-3.588,4
恐懼 ,-3.45,4
疏失 ,-3.8,4
歇斯底里,-3.563,4
推來推去 ,-3.638,4
不悅 ,-3.463,4
緊張 ,-3.413,4
心浮氣躁 ,-3.45,4
吝嗇 ,-3.363,4
含糊 ,-3.475,4
吵吵鬧鬧 ,-3.238,4
嚇到,-3.238,4
干涉 ,-3.25,4
瞧不起 ,-3.488,4
痛心 ,-3.175,4
厭煩 ,-3.425,4
恐怖,-3.45,4
受氣,-3.5,4
專業 ,4.25,5
仔細,4.05,5
厲害 ,3.813,5
神醫 ,3.5,5
名醫 ,3.575,5
同理心 ,3.85,5
安全,3.825,5
安心 ,3.888,5
高明 ,3.675,5
成功 ,3.588,5
權威 ,3.838,5
敬業 ,3.975,5
治好 ,3.813,5
優良 ,3.7,5
高超 ,3.563,5
良醫 ,3.8,5
安全感 ,3.738,5
優秀 ,3.563,5
專家 ,3.85,5
一流 ,3.65,5
仔仔細細,3.813,5
差 ,-3.488,5
馬虎 ,-3.6,5
失誤 ,-3.813,5
離譜 ,-3.713,5
失敗 ,-3.563,5
錯誤 ,-3.538,5
誤診 ,-3.938,5
用錯,-3.638,5
感謝 ,3.688,6
不錯 ,3.55,6
推薦 ,3.938,6
讚 ,3.588,6
感恩 ,3.663,6
感激 ,3.663,6
滿意 ,3.763,6
超棒,3.575,6
感恩不盡 ,3.55,6
爽 ,3.15,6
極好 ,3.65,6
超好,3.613,6
佳 ,3.45,6
真讚,3.6,6
不能 ,-3.213,6
加強 ,-3.5,6
不佳 ,-3.525,6
失望 ,-3.725,6
爛 ,-3.7,6
爛爆 ,-3.663,6
不滿 ,-3.613,6
差勁 ,-3.638,6
傻眼 ,-3.613,6
不良 ,-3.513,6
黑名單 ,-3.7,6
無效,-3.463,6
